timestamp,quantity,price,fee,amount,side,pnl,accumulated_pnl
2024-03-08 12:23,0.00158139,94848000,74.99,149916,1,149916.68872,-3722860.1783999978
2024-03-08 12:24,0.0355154,94839000,1684.12,3366560,1,3366560.9006000003,-356299.2777999975
2024-03-08 12:25,0.0034846,94839000,165.23,330310,1,330310.74940000003,-25988.52839999745
2024-03-08 12:40,0.03484821,94630000,1648.84,-3299335,0,-3299334.9522999995,-3325323.480699997
2024-03-08 12:47,0.02,94630000,946.3,-1893547,0,-1893546.3,-5218869.780699997
2024-03-08 12:51,0.00515838,94794000,244.49,488738,1,488738.98371999996,-4730130.796979997
2024-03-08 12:51,0.00105491,94794000,49.99,99949,1,99949.14854,-4630181.648439997
2024-03-08 13:35,0.01365855,94598000,646.03,-1292718,0,-1292717.5429,-5922899.191339997
2024-03-08 13:55,0.00111039,94495000,52.46,104873,1,104873.84304999998,-5818025.348289996
2024-03-08 13:55,0.00211642,94495000,99.99,199891,1,199891.1179,-5618134.230389996
2024-03-08 14:19,0.02083966,94304000,982.63,-1966246,0,-1966245.9266399997,-7584380.157029996
2024-03-08 14:19,0.02006034,94304000,945.88,-1892717,0,-1892716.18336,-9477096.340389995
2024-03-08 15:02,0.01058244,94449000,499.75,999001,1,999001.1255600001,-8478095.214829994
2024-03-08 15:59,0.0107,94829000,507.33,-1015178,0,-1015177.6299999999,-9493272.844829995
2024-03-08 16:00,0.05,94988000,2374.7,4747025,1,4747025.3,-4746247.544829995
2024-03-08 16:15,0.00451738,94761000,214.03,427857,1,427857.41617999994,-4318390.128649996
2024-03-08 16:45,0.03615818,94715000,1712.36,-3426435,0,-3426434.3787,-7744824.507349996
2024-03-08 17:39,0.01392745,94675000,659.29,1317922,1,1317922.0387499998,-6426902.468599996
2024-03-08 17:39,0.00010557,94666000,4.99,9988,1,9988.89962,-6416913.568979995
2024-03-08 17:40,0.00637026,94746000,301.77,603254,1,603254.88396,-5813658.685019995
2024-03-08 17:40,0.00105545,94746000,49.99,99949,1,99949.6757,-5713709.0093199955
2024-03-08 17:43,0.00527289,94730000,249.75,499251,1,499251.1197,-5214457.889619996
2024-03-08 17:43,0.01804057,94730000,854.49,1708128,1,1708128.7060999998,-3506329.183519996
2024-03-08 17:43,0.01969008,94730000,932.62,1864308,1,1864308.6583999998,-1642020.525119996
2024-03-08 17:43,0.00699646,94730000,331.38,662443,1,662443.2758000001,-979577.2493199959
2024-03-08 18:06,0.05,94549000,2363.72,-4729814,0,-4729813.72,-5709390.9693199955
2024-03-08 18:11,0.002,94553000,94.55,-189201,0,-189200.55,-5898591.519319995
2024-03-08 18:15,0.00903406,94820000,428.3,856181,1,856181.2692,-5042410.250119995
2024-03-08 18:15,0.00285323,94803000,135.24,270359,1,270359.52369,-4772050.726429995
2024-03-08 18:23,0.00105694,94612000,49.99,99949,1,99949.21727999998,-4672101.509149995
2024-03-08 18:23,0.03361931,94612000,1590.39,3179199,1,3179199.76772,-1492901.7414299948
2024-03-08 18:26,0.00437184,94733000,207.07,413950,1,413950.44872,-1078951.2927099948
2024-03-08 18:26,0.0114,94733000,539.97,1079416,1,1079416.23,464.93729000515305
2024-03-08 18:36,0.05,94612000,2365.3,-4732966,0,-4732965.3,-4732500.362709994
2024-03-08 19:13,0.05,94609000,2365.22,-4732816,0,-4732815.22,-9465315.582709994
2024-03-08 20:38,0.04570766,94814000,2166.86,4331559,1,4331559.21524,-5133756.367469994
2024-03-08 20:38,0.00094921,94814000,44.99,89953,1,89953.40694,-5043802.960529994
2024-03-08 20:38,0.05,94809000,2370.22,4738079,1,4738079.78,-305723.18052999396
2024-03-08 20:38,0.00334313,94814000,158.48,316817,1,316817.04782000004,11093.867290006077
2024-03-08 20:45,0.05310767,94881000,2519.45,-5041429,0,-5041428.28727,-5030334.419979994
2024-03-08 20:57,0.00517003,95011000,245.6,-491456,0,-491455.32032999996,-5521789.740309994
2024-03-08 21:00,0.03542243,95124000,1684.76,3367838,1,3367838.47132,-2153951.2689899937
2024-03-08 21:00,0.01457757,95124000,693.33,1385983,1,1385983.43868,-767967.8303099938
2024-03-08 21:00,0.0082,95070000,389.78,779184,1,779184.2200000001,11216.389690006268
2024-03-08 21:03,0.03149868,95055000,1497.05,-2995604,0,-2995604.0774,-2984387.6877099937
2024-03-08 21:03,0.00465961,95056000,221.46,-443146,0,-443145.34816,-3427533.0358699937
2024-03-08 21:03,0.00128547,95056000,61.09,-122253,0,-122252.72631999999,-3549785.7621899936
2024-03-08 21:16,0.05,94899000,2372.47,-4747323,0,-4747322.47,-8297108.232189993
2024-03-08 21:17,0.0125,94902000,593.13,-1186869,0,-1186868.13,-9483976.362189993
2024-03-08 21:24,0.02950001,95082000,1402.45,2803517,1,2803517.5008199997,-6680458.861369994
